,index,Rating,car_year,brand_name,date,review,review for sentiment analysis,sentiment score,relative sentiments
0,13,1.0,2015,Audi,2015-12-23,dissapointment interested want read review s8 massive engine failure excellent service history q5 tdi expensive vibrator s5 coupe 's going review vacuum real ownership experience cut chase florida law circus present disappointing delivery interior made cheaply possible show el cheapo standard seating buzzers going alarm going time utility well utility joke doors lock want alarm warning going health safety accountant pathetic ca turn radio shutting navigation annoyance real joy began long trip mile service trip add oil light came pulled service station find oil dip stick called dealer reeves tampa 've dealing informed dip stick well upshot trip add quart day got brought week said fixed telling add oil week total day law light came purpose commute tampa fl outside orleans la late looking dealer see need oil started law process day respond took day took reeve final repair attempt allowed day took day told fixed light better business bureau go stated today considers fixed funny took dealer today check oil next trip.i 'm disgusted engineering seems run accounting day customer support anyone courtesy call state sorry situation ignore timeline set forth state florida due arrogance incompetence understaffed due accountant management say impressive case requested resolved december travel business request acknowledged truth engineering revise truth 's value engineering suggestion .update waiting arbitration hearing took mile service agreement tampering repair attempt service yellow oil idiot light fixed took mechanic drain qts oil yellow oil light computer screen different hmmm change oil thing change 'm letting federal trade commission fl attorney general office figure complaint unfair deceptive business practices florida arbitration hearing ruled favor 3-0 law lame settlement acceptable attempted settle reeves tampa avail waiting court date magnuson-moss warranty act sense problem started **update** week pre trial hearing went mediation volkswagen decided brief negotiation asking pay attorney fee course engineered overpriced piece junk opinion getting rid s5 coupe week want nothing volkswagen local dealership reeves tampa future due way 've treated gentleman entire process bullied lied dealership play game reported federal trade commission florida attorney general office unfair deceptive business practice used dealership year received email update review nothing add imagine purchasing product vw.again received email update review nothing edit,"['dissapointment', 'interested', 'want', 'read', 'review', 's8', 'massive', 'engine', 'failure', 'excellent', 'service', 'history', 'q5', 'tdi', 'expensive', 'vibrator', 's5', 'coupe', ""'s"", 'going', 'review', 'vacuum', 'real', 'ownership', 'experience', 'cut', 'chase', 'florida', 'law', 'circus', 'present', 'disappointing', 'delivery', 'interior', 'made', 'cheaply', 'possible', 'show', 'el', 'cheapo', 'standard', 'seating', 'buzzers', 'going', 'alarm', 'going', 'time', 'utility', 'well', 'utility', 'joke', 'doors', 'lock', 'want', 'alarm', 'warning', 'going', 'health', 'safety', 'accountant', 'pathetic', 'ca', 'turn', 'radio', 'shutting', 'navigation', 'annoyance', 'real', 'joy', 'began', 'long', 'trip', 'mile', 'service', 'trip', 'add', 'oil', 'light', 'came', 'pulled', 'service', 'station', 'find', 'oil', 'dip', 'stick', 'called', 'dealer', 'reeves', 'tampa', ""'ve"", 'dealing', 'informed', 'dip', 'stick', 'well', 'upshot', 'trip', 'add', 'quart', 'day', 'got', 'brought', 'week', 'said', 'fixed', 'telling', 'add', 'oil', 'week', 'total', 'day', 'law', 'light', 'came', 'purpose', 'commute', 'tampa', 'fl', 'outside', 'orleans', 'la', 'late', 'looking', 'dealer', 'see', 'need', 'oil', 'started', 'law', 'process', 'day', 'respond', 'took', 'day', 'took', 'reeve', 'final', 'repair', 'attempt', 'allowed', 'day', 'took', 'day', 'told', 'fixed', 'light', 'better', 'business', 'bureau', 'go', 'stated', 'today', 'considers', 'fixed', 'funny', 'took', 'dealer', 'today', 'check', 'oil', 'next', 'trip.i', ""'m"", 'disgusted', 'engineering', 'seems', 'run', 'accounting', 'day', 'customer', 'support', 'anyone', 'courtesy', 'call', 'state', 'sorry', 'situation', 'ignore', 'timeline', 'set', 'forth', 'state', 'florida', 'due', 'arrogance', 'incompetence', 'understaffed', 'due', 'accountant', 'management', 'say', 'impressive', 'case', 'requested', 'resolved', 'december', 'travel', 'business', 'request', 'acknowledged', 'truth', 'engineering', 'revise', 'truth', ""'s"", 'value', 'engineering', 'suggestion', '.update', 'waiting', 'arbitration', 'hearing', 'took', 'mile', 'service', 'agreement', 'tampering', 'repair', 'attempt', 'service', 'yellow', 'oil', 'idiot', 'light', 'fixed', 'took', 'mechanic', 'drain', 'qts', 'oil', 'yellow', 'oil', 'light', 'computer', 'screen', 'different', 'hmmm', 'change', 'oil', 'thing', 'change', ""'m"", 'letting', 'federal', 'trade', 'commission', 'fl', 'attorney', 'general', 'office', 'figure', 'complaint', 'unfair', 'deceptive', 'business', 'practices', 'florida', 'arbitration', 'hearing', 'ruled', 'favor', '3-0', 'law', 'lame', 'settlement', 'acceptable', 'attempted', 'settle', 'reeves', 'tampa', 'avail', 'waiting', 'court', 'date', 'magnuson-moss', 'warranty', 'act', 'sense', 'problem', 'started', '**update**', 'week', 'pre', 'trial', 'hearing', 'went', 'mediation', 'volkswagen', 'decided', 'brief', 'negotiation', 'asking', 'pay', 'attorney', 'fee', 'course', 'engineered', 'overpriced', 'piece', 'junk', 'opinion', 'getting', 'rid', 's5', 'coupe', 'week', 'want', 'nothing', 'volkswagen', 'local', 'dealership', 'reeves', 'tampa', 'future', 'due', 'way', ""'ve"", 'treated', 'gentleman', 'entire', 'process', 'bullied', 'lied', 'dealership', 'play', 'game', 'reported', 'federal', 'trade', 'commission', 'florida', 'attorney', 'general', 'office', 'unfair', 'deceptive', 'business', 'practice', 'used', 'dealership', 'year', 'received', 'email', 'update', 'review', 'nothing', 'add', 'imagine', 'purchasing', 'product', 'vw.again', 'received', 'email', 'update', 'review', 'nothing', 'edit']","{'neg': 0.142, 'neu': 0.726, 'pos': 0.132, 'compound': -0.7964}",negative
1,22,4.0,2014,Audi,2017-10-07,spectacular failure see review add name list praise fast well-made roomy fact complaint 'worthless driven disastrous resale terrible make look sq5 whole light brutal worse expect say terrible owning delivered everything expected wished ride hard seat unforgiving 's tight ride quality sacrifice fast beast handle going room whole family expensive reality owning tire 25-30k mi kinda eye-opening mpg bothered beast final opinion bummer toxic-level bad resale value operating cost brilliant awesome,"['spectacular', 'failure', 'see', 'review', 'add', 'name', 'list', 'praise', 'fast', 'well-made', 'roomy', 'fact', 'complaint', ""'worthless"", 'driven', 'disastrous', 'resale', 'terrible', 'make', 'look', 'sq5', 'whole', 'light', 'brutal', 'worse', 'expect', 'say', 'terrible', 'owning', 'delivered', 'everything', 'expected', 'wished', 'ride', 'hard', 'seat', 'unforgiving', ""'s"", 'tight', 'ride', 'quality', 'sacrifice', 'fast', 'beast', 'handle', 'going', 'room', 'whole', 'family', 'expensive', 'reality', 'owning', 'tire', '25-30k', 'mi', 'kinda', 'eye-opening', 'mpg', 'bothered', 'beast', 'final', 'opinion', 'bummer', 'toxic-level', 'bad', 'resale', 'value', 'operating', 'cost', 'brilliant', 'awesome']","{'neg': 0.338, 'neu': 0.528, 'pos': 0.133, 'compound': -0.9603}",negative
2,26,1.0,2012,Audi,2018-07-17,beguiled buyer purchased leave return loved way looked made head turn power fuel mileage certified lease return mile warranty made feel safe started using lot oil refill free started using told normal ran scalded dag complained dealership marked engine oil consumption engine shot needed piston ring worse news oil consumption covered extended warranty learned turbo aluminum block steel sleeve wont discus rotor issue sun roof failure oil separator failure,"['beguiled', 'buyer', 'purchased', 'leave', 'return', 'loved', 'way', 'looked', 'made', 'head', 'turn', 'power', 'fuel', 'mileage', 'certified', 'lease', 'return', 'mile', 'warranty', 'made', 'feel', 'safe', 'started', 'using', 'lot', 'oil', 'refill', 'free', 'started', 'using', 'told', 'normal', 'ran', 'scalded', 'dag', 'complained', 'dealership', 'marked', 'engine', 'oil', 'consumption', 'engine', 'shot', 'needed', 'piston', 'ring', 'worse', 'news', 'oil', 'consumption', 'covered', 'extended', 'warranty', 'learned', 'turbo', 'aluminum', 'block', 'steel', 'sleeve', 'wont', 'discus', 'rotor', 'issue', 'sun', 'roof', 'failure', 'oil', 'separator', 'failure']","{'neg': 0.191, 'neu': 0.693, 'pos': 0.117, 'compound': -0.6597}",negative
3,36,1.0,2012,Audi,2016-04-28,q5 's year engine died dealership wanted charge replace entire top half engine due timing chain defect refused pay anything unacceptable 's made sure took oil change scheduled service planning purchasing q5 online research timing chain/transmission/etc see made vehicle,"['q5', ""'s"", 'year', 'engine', 'died', 'dealership', 'wanted', 'charge', 'replace', 'entire', 'top', 'half', 'engine', 'due', 'timing', 'chain', 'defect', 'refused', 'pay', 'anything', 'unacceptable', ""'s"", 'made', 'sure', 'took', 'oil', 'change', 'scheduled', 'service', 'planning', 'purchasing', 'q5', 'online', 'research', 'timing', 'chain/transmission/etc', 'see', 'made', 'vehicle']","{'neg': 0.259, 'neu': 0.657, 'pos': 0.084, 'compound': -0.8176}",negative
4,37,3.0,2012,Audi,2016-01-27,sporty quality premium radar wanted sporty color spec wanted came q5 way name maintenance cost associated funky control drove low mileage lease fell sporty luxurious black interior big crazy getting coming rx300 little pedal power mode seemed get go month informed review first albeit used extensive pros sporty luxurious look interior exterior inside light night sound system gas mileage roomy trunk roof interior quality nice nice power turbo/sport mode cons felt needed ph.d. intuitive e.g sunroof reviewer multimedia system confusing disappointing location use wheel control find looking dangerous feel 'm controlling aircraft ultrasound machine rotary dial push turn push turn dial fm station hit presets old son believe buy several adapter order listen music iphones car easier hookup putting adapter glove box idiotic radio text automatic navigation old useless want buy cd updated map let talk brake dust second backseat little tight tighter hump take leg room coming maintenance schedule say change spark plug spark plug last 75k-100k overall look feel q5 paid name look maintenance cost high research many review price buy used turbo price point many issue lack certain thing stated keep year son hope last 10-15 year go sporty easier touch control le issue,"['sporty', 'quality', 'premium', 'radar', 'wanted', 'sporty', 'color', 'spec', 'wanted', 'came', 'q5', 'way', 'name', 'maintenance', 'cost', 'associated', 'funky', 'control', 'drove', 'low', 'mileage', 'lease', 'fell', 'sporty', 'luxurious', 'black', 'interior', 'big', 'crazy', 'getting', 'coming', 'rx300', 'little', 'pedal', 'power', 'mode', 'seemed', 'get', 'go', 'month', 'informed', 'review', 'first', 'albeit', 'used', 'extensive', 'pros', 'sporty', 'luxurious', 'look', 'interior', 'exterior', 'inside', 'light', 'night', 'sound', 'system', 'gas', 'mileage', 'roomy', 'trunk', 'roof', 'interior', 'quality', 'nice', 'nice', 'power', 'turbo/sport', 'mode', 'cons', 'felt', 'needed', 'ph.d.', 'intuitive', 'e.g', 'sunroof', 'reviewer', 'multimedia', 'system', 'confusing', 'disappointing', 'location', 'use', 'wheel', 'control', 'find', 'looking', 'dangerous', 'feel', ""'m"", 'controlling', 'aircraft', 'ultrasound', 'machine', 'rotary', 'dial', 'push', 'turn', 'push', 'turn', 'dial', 'fm', 'station', 'hit', 'presets', 'old', 'son', 'believe', 'buy', 'several', 'adapter', 'order', 'listen', 'music', 'iphones', 'car', 'easier', 'hookup', 'putting', 'adapter', 'glove', 'box', 'idiotic', 'radio', 'text', 'automatic', 'navigation', 'old', 'useless', 'want', 'buy', 'cd', 'updated', 'map', 'let', 'talk', 'brake', 'dust', 'second', 'backseat', 'little', 'tight', 'tighter', 'hump', 'take', 'leg', 'room', 'coming', 'maintenance', 'schedule', 'say', 'change', 'spark', 'plug', 'spark', 'plug', 'last', '75k-100k', 'overall', 'look', 'feel', 'q5', 'paid', 'name', 'look', 'maintenance', 'cost', 'high', 'research', 'many', 'review', 'price', 'buy', 'used', 'turbo', 'price', 'point', 'many', 'issue', 'lack', 'certain', 'thing', 'stated', 'keep', 'year', 'son', 'hope', 'last', '10-15', 'year', 'go', 'sporty', 'easier', 'touch', 'control', 'le', 'issue']","{'neg': 0.102, 'neu': 0.802, 'pos': 0.095, 'compound': -0.3612}",negative
5,38,2.0,2012,Audi,2015-10-15,dream turn dud 've wanted year purchased driving vehicle class sure purchased lease return keep mind made sure put rotor break pad purchased owned le put completed mile service problem took service told needed brake pad rotor brake fluid flush oil pressure valve replacement course 's top price tag 'normal maintenance totalling owned knew expensive fix realize poor quality factory part brake pad rotor 'm crazy driver pride driving speeding braking needed side note blue tooth horrible navigation useless experience lost faith purchasing feel price tag disappointing,"['dream', 'turn', 'dud', ""'ve"", 'wanted', 'year', 'purchased', 'driving', 'vehicle', 'class', 'sure', 'purchased', 'lease', 'return', 'keep', 'mind', 'made', 'sure', 'put', 'rotor', 'break', 'pad', 'purchased', 'owned', 'le', 'put', 'completed', 'mile', 'service', 'problem', 'took', 'service', 'told', 'needed', 'brake', 'pad', 'rotor', 'brake', 'fluid', 'flush', 'oil', 'pressure', 'valve', 'replacement', 'course', ""'s"", 'top', 'price', 'tag', ""'normal"", 'maintenance', 'totalling', 'owned', 'knew', 'expensive', 'fix', 'realize', 'poor', 'quality', 'factory', 'part', 'brake', 'pad', 'rotor', ""'m"", 'crazy', 'driver', 'pride', 'driving', 'speeding', 'braking', 'needed', 'side', 'note', 'blue', 'tooth', 'horrible', 'navigation', 'useless', 'experience', 'lost', 'faith', 'purchasing', 'feel', 'price', 'tag', 'disappointing']","{'neg': 0.22, 'neu': 0.656, 'pos': 0.124, 'compound': -0.891}",negative
6,41,2.625,2012,Audi,2013-07-23,nice horrible service service horrible.i q7 tdi q5 dealer overfills oil q7 causing kind problem fix warranty.then coolant q5 start leaking garage say wonât fixed warranty leak caused âoutside influenceâ.i called america say âsorryâ nothing doâ .i going relay terrible experience blog find.such shame loved q7 thought get it.fyi- criswell annapolis dealer,"['nice', 'horrible', 'service', 'service', 'horrible.i', 'q7', 'tdi', 'q5', 'dealer', 'overfills', 'oil', 'q7', 'causing', 'kind', 'problem', 'fix', 'warranty.then', 'coolant', 'q5', 'start', 'leaking', 'garage', 'say', 'wonâ\x92t', 'fixed', 'warranty', 'leak', 'caused', 'â\x93outside', 'influenceâ\x94.i', 'called', 'america', 'say', 'â\x93sorryâ\x94', 'nothing', 'doâ', '.i', 'going', 'relay', 'terrible', 'experience', 'blog', 'find.such', 'shame', 'loved', 'q7', 'thought', 'get', 'it.fyi-', 'criswell', 'annapolis', 'dealer']","{'neg': 0.215, 'neu': 0.639, 'pos': 0.147, 'compound': -0.5719}",negative
7,42,3.625,2012,Audi,2012-12-11,many issue price 've owned premium plus q5 month driven city highway.it fine comfortable plenty power.however many small issue boggle mind 50k-ish price.1 multimedia system awful 's design feel decade old control dial scroll thing opposite way consumer device eg ipod menu system convoluted.2 gps useless map provided least 4-5 year old routing poor.3 gas cap cover broken month flimsy construction,"['many', 'issue', 'price', ""'ve"", 'owned', 'premium', 'plus', 'q5', 'month', 'driven', 'city', 'highway.it', 'fine', 'comfortable', 'plenty', 'power.however', 'many', 'small', 'issue', 'boggle', 'mind', '50k-ish', 'price.1', 'multimedia', 'system', 'awful', ""'s"", 'design', 'feel', 'decade', 'old', 'control', 'dial', 'scroll', 'thing', 'opposite', 'way', 'consumer', 'device', 'eg', 'ipod', 'menu', 'system', 'convoluted.2', 'gps', 'useless', 'map', 'provided', 'least', '4-5', 'year', 'old', 'routing', 'poor.3', 'gas', 'cap', 'cover', 'broken', 'month', 'flimsy', 'construction']","{'neg': 0.127, 'neu': 0.8, 'pos': 0.073, 'compound': -0.5859}",negative
8,44,4.0,2012,Audi,2012-10-06,rear hazard overall car.however alert family tailpipe nice looking extend car.i crescent shaped burn shin let dog back.three small boy eating snack missed burned pipes.since event 've noticed maker better job hiding tail pipe bumper rear door stop small object 's line descent closed position.my son push him.if get bag body part dog paw way time dangerous,"['rear', 'hazard', 'overall', 'car.however', 'alert', 'family', 'tailpipe', 'nice', 'looking', 'extend', 'car.i', 'crescent', 'shaped', 'burn', 'shin', 'let', 'dog', 'back.three', 'small', 'boy', 'eating', 'snack', 'missed', 'burned', 'pipes.since', 'event', ""'ve"", 'noticed', 'maker', 'better', 'job', 'hiding', 'tail', 'pipe', 'bumper', 'rear', 'door', 'stop', 'small', 'object', ""'s"", 'line', 'descent', 'closed', 'position.my', 'son', 'push', 'him.if', 'get', 'bag', 'body', 'part', 'dog', 'paw', 'way', 'time', 'dangerous']","{'neg': 0.142, 'neu': 0.717, 'pos': 0.141, 'compound': -0.0258}",neutral
9,53,2.25,2012,Audi,2012-01-05,sorry q5 've bad experience mine review.the skylight shattered cold weather dealer told known issue q5 cold weather.the dealer month fixed.they say skylight get correct replacement part.rusnak say make giving couple payment make time lost.i wanted worked,"['sorry', 'q5', ""'ve"", 'bad', 'experience', 'mine', 'review.the', 'skylight', 'shattered', 'cold', 'weather', 'dealer', 'told', 'known', 'issue', 'q5', 'cold', 'weather.the', 'dealer', 'month', 'fixed.they', 'say', 'skylight', 'get', 'correct', 'replacement', 'part.rusnak', 'say', 'make', 'giving', 'couple', 'payment', 'make', 'time', 'lost.i', 'wanted', 'worked']","{'neg': 0.182, 'neu': 0.762, 'pos': 0.055, 'compound': -0.6705}",negative
10,64,3.0,2018,Audi,2018-07-31,dont think smarter owned q5 month time ’ ’ gotten aggravated end stupidity let paint picture pre-sense anti collision assistance driving jersey turnpike proceed pas turn signal drift left start accelerate bam abs activated intent stoping well needle say get sign peace gentleman obnoxious horn beeping rightfully so.i look idiot pulled tried stop happen dealer tell ’ aware pre sense sensitive ’ protection ’ front issue number transmission start stop transmission decide gear supposed go clunking banging go transmission interested thing ’ getting highest gear possible go foot matter input perceived highline german ’ engineered unsophisticated jolting horrible mapping transmission paddle shifter toy override imput feel manual mode let ’ talk aceleration better ’ exercise ’ inclined ramp simulation bring hour ’ room merge consider alltraffic hour punch pedel floor guarantee delay move scary nose traffic issue get point .i hard hell decide consider experience dealership help corporate care less send dealer telling normal.all said say get moving ’ comfortable ’ quiet need pay attention keep mine like try drift left.again tell typical wheel car front wheel biased wrong thanks reading closing save money highline much better car spend,"['dont', 'think', 'smarter', 'owned', 'q5', 'month', 'time', '’', '’', 'gotten', 'aggravated', 'end', 'stupidity', 'let', 'paint', 'picture', 'pre-sense', 'anti', 'collision', 'assistance', 'driving', 'jersey', 'turnpike', 'proceed', 'pas', 'turn', 'signal', 'drift', 'left', 'start', 'accelerate', 'bam', 'abs', 'activated', 'intent', 'stoping', 'well', 'needle', 'say', 'get', 'sign', 'peace', 'gentleman', 'obnoxious', 'horn', 'beeping', 'rightfully', 'so.i', 'look', 'idiot', 'pulled', 'tried', 'stop', 'happen', 'dealer', 'tell', '’', 'aware', 'pre', 'sense', 'sensitive', '’', 'protection', '’', 'front', 'issue', 'number', 'transmission', 'start', 'stop', 'transmission', 'decide', 'gear', 'supposed', 'go', 'clunking', 'banging', 'go', 'transmission', 'interested', 'thing', '’', 'getting', 'highest', 'gear', 'possible', 'go', 'foot', 'matter', 'input', 'perceived', 'highline', 'german', '’', 'engineered', 'unsophisticated', 'jolting', 'horrible', 'mapping', 'transmission', 'paddle', 'shifter', 'toy', 'override', 'imput', 'feel', 'manual', 'mode', 'let', '’', 'talk', 'aceleration', 'better', '’', 'exercise', '’', 'inclined', 'ramp', 'simulation', 'bring', 'hour', '’', 'room', 'merge', 'consider', 'alltraffic', 'hour', 'punch', 'pedel', 'floor', 'guarantee', 'delay', 'move', 'scary', 'nose', 'traffic', 'issue', 'get', 'point', '.i', 'hard', 'hell', 'decide', 'consider', 'experience', 'dealership', 'help', 'corporate', 'care', 'less', 'send', 'dealer', 'telling', 'normal.all', 'said', 'say', 'get', 'moving', '’', 'comfortable', '’', 'quiet', 'need', 'pay', 'attention', 'keep', 'mine', 'like', 'try', 'drift', 'left.again', 'tell', 'typical', 'wheel', 'car', 'front', 'wheel', 'biased', 'wrong', 'thanks', 'reading', 'closing', 'save', 'money', 'highline', 'much', 'better', 'car', 'spend']","{'neg': 0.209, 'neu': 0.632, 'pos': 0.159, 'compound': -0.8828}",negative
11,66,1.0,2018,Audi,2018-06-29,fire hazard notified recall q5 due fire hazard parts repair available late dealer jack daniel told call usa usa told contact dealer refuse provide loaner told stop driving light go dashboard ’ tell light look told garage terrible company deal,"['fire', 'hazard', 'notified', 'recall', 'q5', 'due', 'fire', 'hazard', 'parts', 'repair', 'available', 'late', 'dealer', 'jack', 'daniel', 'told', 'call', 'usa', 'usa', 'told', 'contact', 'dealer', 'refuse', 'provide', 'loaner', 'told', 'stop', 'driving', 'light', 'go', 'dashboard', '’', 'tell', 'light', 'look', 'told', 'garage', 'terrible', 'company', 'deal']","{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.8834}",negative
